input,full_output,baseline_output,label_emotion,full_emotion,baseline_emotion
Hello,"Hello! I can sense that you might be feeling a bit down. If you'd like to share what's on your mind, I'm here to listen.",Hello. How are you feeling today?,anxiety,sad,sad
I am having a lot of anxiety about quitting my current job. It is too stressful but pays well,"I'm really sorry to hear that you're feeling this way. It's completely understandable to feel anxious about making such a big decision, especially when it involves balancing your mental health with financial stability. It’s tough when you know something isn’t right for you, but it also has its benefits. You're not alone in this struggle, and it's okay to take your time to figure out what the best path forward is for you. If you want to talk more about it, I'm here to listen.","It's completely understandable to feel anxious about such a big decision. Quitting a job, especially one that pays well, can bring up a lot of mixed emotions. It's important to weigh the pros and cons and consider what truly matters to you. Your mental health is crucial, and finding a balance between stress and financial stability can be tough. Have you thought about what steps you might take next?",anxiety,sad,sad
I have to deal with many people in hard financial situations and it is upsetting,"I'm really sorry to hear that you're feeling this way. It can be incredibly tough to witness the struggles of others, especially when it comes to something as challenging as financial difficulties. It's understandable to feel upset when you care about the well-being of those around you. If you want to talk more about it, I'm here to listen.","It’s completely understandable to feel upset when you see others struggling. It can be really heavy to carry that weight, especially when you want to help but feel limited in what you can do. It’s important to take care of yourself too, so make sure to find moments to recharge. If you want to talk more about it, I’m here to listen.",anxiety,sad,sad
"I do, but often they are not going to get back to what they want. Many people are going to lose their home when safeguards are lifted","I'm really sorry to hear that you're feeling this way. It’s tough to see so many people facing uncertainty and the possibility of losing their homes. It’s natural to feel sad about such difficult situations, especially when it affects so many lives. If you want to talk more about it or share your thoughts, I’m here to listen.","It sounds like you're feeling really concerned about the situation and the impact it may have on people's lives. It's tough to see others facing such uncertainty, especially when it comes to something as important as their homes. If you want to talk more about it, I'm here to listen.",anxiety,sad,sad
That is true but sometimes I feel like I should put my feelings and health first,"It's completely understandable to feel that way. Prioritizing your feelings and health is so important, and taking care of yourself is not selfish. It's okay to acknowledge when you need a break or some time to focus on what you need. You're not alone in feeling this way, and it's valid to want to look after your well-being.",It's really important to prioritize your feelings and health. Taking care of yourself is essential for your overall well-being. It's okay to take a step back and focus on what you need. What do you think might help you feel better?,anxiety,sad,sad
Probably not. I was with the same company for a long time and I consistently get a bonus every year,"It sounds like you’re feeling quite disappointed about the situation, especially after being with the same company for so long and having that consistent bonus. It's understandable to feel sad when something you relied on changes. If you want to talk more about it, I'm here to listen.","It sounds like you've had a stable and rewarding experience at your company. It’s tough when changes happen, especially after being somewhere for so long. How are you feeling about the situation?",anxiety,sad,sad
I could try. It mostly gets to me at the end of the day,"It sounds like the end of the day really weighs on you. I'm sorry to hear that you're feeling this way. It's tough when emotions build up throughout the day. If you want to share more about what’s been bothering you, I’m here to listen.","It's understandable to feel that way, especially after a long day. Sometimes, the weight of everything can be harder to carry as the day winds down. If you'd like to share more about what's on your mind, I'm here to listen.",anxiety,sad,sad
That is also true. Sometimes I wonder if it really is for me though,"It sounds like you’re feeling uncertain and maybe a bit overwhelmed. It’s completely normal to question things, especially when you’re feeling down. Just know that it’s okay to feel this way, and you’re not alone in having these thoughts. If you want to talk more about what’s on your mind, I’m here to listen.","It's completely normal to have those thoughts and doubts. It's a part of the journey, and it can be tough. If you want to talk about what's on your mind or what you're feeling uncertain about, I'm here to listen.",anxiety,sad,sad
That is true. Maybe I just need to sit down and really think about it,"It sounds like you’re going through a tough time, and taking a moment to sit down and reflect can be really helpful. It's okay to feel sad and to give yourself the space to process your emotions. If you need someone to talk to or just want to share what’s on your mind, I'm here for you.","Taking the time to sit down and think things through can be really helpful. It’s okay to feel sad and to reflect on your thoughts and emotions. If you’d like to share more about what you’re thinking, I’m here to listen.",anxiety,sad,sad
Thank you for the different perspective,"You're welcome. I'm glad I could offer a different perspective. It sounds like you might be going through a tough time, and I want you to know that it's okay to feel sad. If you want to talk more about what's on your mind, I'm here for you.","You're welcome. I'm glad to provide a different perspective. If you want to talk more about what's on your mind or need support, I'm here to listen.",anxiety,sad,sad
Bye,"I'm really sorry to hear that you're feeling this way. If you want to talk about what's on your mind, I'm here to listen.","Goodbye. If you need someone to talk to later, I'm here for you. Take care.",anxiety,sad,sad
im fine how are you,"I appreciate you asking! I'm here to help you with anything you need. If there's something on your mind, feel free to share.","I'm here to help! If there's something on your mind or anything you'd like to talk about, feel free to share.",anger,angry,angry
merry christmas to you also,"Thank you! I appreciate the kind wishes. I hope you're having a good holiday season, despite how you might be feeling right now. If there's anything on your mind, I'm here to listen.",Thank you! Merry Christmas to you too! I hope you have a wonderful holiday season.,anger,angry,angry
im having some issues with friends not actually being friends,"I’m really sorry to hear that you’re feeling this way. Friendships can be complicated, and it's frustrating when people don’t live up to our expectations. Would you like to talk about what's been going on? Sometimes sharing can help relieve some of that frustration.",It sounds really frustrating to feel like your friends aren't being genuine. What specific issues are you facing with them? Sometimes sharing can help clarify things.,anger,angry,angry
yes,"I can sense that you might be feeling frustrated right now. If you’d like to share what's on your mind, I'm here to listen and help.",It seems like something might be bothering you. How can I assist you?,anger,angry,angry
yes their is no communication or interaction between me and them nobody answers phone calls txt messages etc,I can understand how frustrating that must be for you. It’s tough when you’re trying to reach out and feel ignored. Maybe there’s a way to approach them differently or check if there’s a specific reason for the lack of response? Let’s see if we can think of some solutions together.,"That sounds really frustrating. It’s tough when you’re trying to reach out and no one responds. Have you considered trying a different way to get in touch, or maybe giving it some time before reaching out again?",anger,angry,angry
no friends,I'm really sorry to hear that you're feeling this way. It can be tough to feel alone. Would you like to talk about what's been going on?,I'm sorry to hear that you're feeling this way. It can be really tough to feel alone. Would you like to talk about what's been going on?,anger,angry,angry
when we where younger we all hung out all the time now that we are older its like they talk with each other im not sure if i did anything or not,"It sounds like you're feeling really frustrated and maybe even a bit left out. It's tough when relationships change over time. Have you had a chance to talk to them about how you're feeling? Sometimes, opening up can help clarify things and mend any misunderstandings.","It sounds really frustrating to feel left out like that. Sometimes as people grow older, their priorities and relationships change. It might not be anything you did specifically; it could just be life circumstances. Have you considered reaching out to them to see how they're doing? It might help clarify things and open up that communication again.",anger,angry,angry
it doesnt matter they still keep open communication with each other,I understand that this situation is frustrating for you. It can be tough when communication feels uneven or unfair. What specifically is bothering you about their open communication? I'm here to listen and help you work through it.,"It sounds like you're feeling frustrated about the situation. Open communication can be complicated, especially if it seems one-sided or unbalanced. What specifically is bothering you about it?",anger,angry,angry
I believe its because I am the friend that has financial trouble and normally needs to borrow money,I can understand how that situation might make you feel frustrated or even upset. It’s tough to find yourself in a position where you're relying on others financially. It's important to communicate openly with your friends about how you're feeling. They might not realize the impact it has on you. Would you like to talk more about what’s been going on?,It sounds really frustrating to feel like you're always in that position. It's tough when financial struggles affect your friendships. Have you had a chance to talk to your friends about how this makes you feel?,anger,angry,angry
perhaps they are tired of being asked,I understand that it can be frustrating to feel like you're not getting the responses you need. It's important to consider their perspective too. Maybe they just need a little space or time before they can engage fully. How about we think of a different approach together?,It sounds like you might be feeling frustrated about the situation. It's understandable if constant questions can wear someone down. What do you think would be a better approach?,anger,angry,angry
I also think sometimes to myself that they don't answer because they think I'm asking for money,It sounds really frustrating to feel that way. It’s understandable to worry about how others perceive your intentions. Have you had the chance to express your thoughts or feelings directly to them? Sometimes open communication can help clear up misunderstandings.,"It's understandable to feel that way, especially if communication has been inconsistent. It can be frustrating when you feel like your intentions are misunderstood. Have you considered addressing that concern directly with them?",anger,angry,angry
yes i dont qualify,I understand that this situation might be frustrating for you. Can you share a bit more about what you're feeling? I'm here to help.,I'm sorry to hear that you're feeling this way. Can you share a bit more about what you’re going through?,anger,angry,angry
and it happens on and off like when they feel lie it i guess i will say maybe 4 months,It sounds like you’re dealing with a lot of frustration. It’s tough when things feel inconsistent and unpredictable over time. Would you like to share more about what’s been happening? I’m here to listen.,"It sounds like you're dealing with a frustrating situation that’s been ongoing for a while. If you'd like to share more about what's been happening or how it's affecting you, I'm here to listen.",anger,angry,angry
yes i know i hope everything be immediately resolved and not lead into other problems and end of friendshps,I understand how important it is for you to resolve this situation quickly. It can be really frustrating to think about the potential consequences on friendships. Let's focus on finding a solution together and ensuring that things don't escalate further. What do you think would be the best way to approach this?,"It sounds like you’re feeling really frustrated about the situation. It’s tough when things seem like they could spiral out of control. I hope it gets resolved quickly too, so you can avoid any unnecessary complications. If you want to talk more about it, I’m here to listen.",anger,angry,angry
when i go out of town i can visit but with covid19  rules,"I understand that the COVID-19 rules can be frustrating and might limit your plans. It’s important to prioritize safety, though. If you have specific concerns or questions about traveling or visiting, I’m here to help you figure things out.","It sounds like you're feeling frustrated about the travel restrictions due to COVID-19. Many people are dealing with similar feelings. Are there specific places you're thinking about visiting, or are you looking for tips on how to travel safely within the guidelines?",anger,angry,angry
yes,I can see that you might be feeling frustrated right now. I'm here to listen and help if you want to share what's on your mind.,It seems like you're feeling frustrated. How can I assist you better?,anger,angry,angry
yes i like to read and play music,"That's great to hear! Reading and playing music can be really enjoyable and relaxing activities. What kind of books do you like to read, and what instruments do you play?","That's great to hear! Reading and playing music can be such fulfilling activities. What kind of books do you enjoy, and what instruments do you play?",anger,angry,angry
i played the piano when i was in highschool,"That sounds like a wonderful experience! Playing the piano can be such a great way to express yourself and relieve stress. Do you still play, or have you moved on to other interests?","That's great! Playing the piano can be such a rewarding experience. Do you still play, or have you moved on to other interests?",anger,angry,angry
no i didn't i had to stop because i have what the doctors call a trigger finger it caused great pain when i would practice,I'm really sorry to hear that you're dealing with trigger finger; that sounds quite painful. It’s understandable that you would need to stop practicing if it's causing you discomfort. Have you been able to find any relief or treatment for it?,"I'm really sorry to hear that you're dealing with trigger finger. That sounds frustrating and painful, especially when you're trying to practice. Have you been able to find any relief or treatment for it?",anger,angry,angry
yes that is true,"I can sense that you're feeling quite frustrated. It's completely understandable to have strong emotions about certain situations. If you'd like, I’m here to listen and help you work through what’s on your mind.",I understand you feel strongly about this. Can you share more about what's on your mind?,anger,angry,angry
yes i will give them time maybe stop reaching out so much,It sounds like you're feeling overwhelmed right now. Giving yourself some space can be a good way to regain perspective. It's okay to take a step back and focus on what you need. How are you feeling about that decision?,It sounds like you’re feeling frustrated with the situation. Taking a step back and giving them some space might help. It's okay to prioritize your own feelings and boundaries.,anger,angry,angry
yes thank you for talking with me and giving great advice,"I really appreciate your kind words! It’s great to hear that you found our conversation helpful. If there's anything else on your mind, I'm here to listen and support you.","You're welcome! I'm here to help. If you have any more questions or need to talk about something else, feel free to share.",anger,angry,angry
yes maybe everyone is stressed at some level thanks to covid19,"It’s completely understandable to feel that way. The impact of COVID-19 has been significant, and many people are experiencing heightened stress. It's important to acknowledge those feelings and find ways to cope. How are you managing your stress during these times?","Absolutely, the impact of COVID-19 has been significant on many people's mental health. It's understandable to feel stressed during such uncertain times. It's important to acknowledge those feelings and find ways to manage them. What do you think has been the most challenging aspect for you?",anger,angry,angry
yes i hope next year bring blessings for everyone,"I completely understand where you're coming from. It’s important to hold onto hope, especially during challenging times. Wishing for blessings and better days ahead can really help shift our perspective. How are you feeling about the upcoming year?",I completely understand your sentiment. It's always nice to hope for better times ahead. What kind of blessings are you hoping for specifically?,anger,angry,angry
no that was all thanks for speaking with me,"I appreciate you sharing your thoughts with me. If there's anything more you'd like to talk about or if you have any questions, I'm here to help.","You're welcome! If you ever want to talk again or have more to say, I'm here for you.",anger,angry,angry
you to and thanks,I can sense that you're feeling upset right now. I appreciate you reaching out. Let’s talk about what's bothering you so we can find a solution together.,"It seems like you might be feeling frustrated. If there's something specific that's bothering you, I'm here to listen and help if I can.",anger,angry,angry
Hello,Hello! I sense that you might be feeling a bit fearful right now. It's completely okay to feel that way. I'm here to listen and support you. What's on your mind?,Hello! How can I assist you today?,fear,fear,fear
