input,reference,prediction,bleu,rouge1,rouge2,rougeL,distinct1,distinct2,latency_sec
Hello,"Hello, what would you like to talk about?",I understand. Can you tell me more about how you feel?,0.018850319022747353,0.2105263157894737,0.0,0.2105263157894737,0.9090909090909091,0.9090909090909091,0.0
I am having a lot of anxiety about quitting my current job. It is too stressful but pays well,What makes your job stressful for you?,That sounds like a difficult situation. What do you think you can do next?,0.01428363257865929,0.19047619047619047,0.0,0.19047619047619047,0.8571428571428571,0.9285714285714286,0.0
I have to deal with many people in hard financial situations and it is upsetting,Do you help your clients to make it to a better financial situation?,I understand. Can you tell me more about how you feel?,0.01571650849186369,0.08333333333333334,0.0,0.08333333333333334,0.9090909090909091,0.9090909090909091,0.0
"I do, but often they are not going to get back to what they want. Many people are going to lose their home when safeguards are lifted","But you offer them a better future than what they have currently. It may not be what they wanted, but it helps them in the long run.",I understand. Can you tell me more about how you feel?,0.004401671624742202,0.05263157894736842,0.0,0.05263157894736842,0.9090909090909091,0.9090909090909091,0.0
That is true but sometimes I feel like I should put my feelings and health first,I can understand that.,I understand. Can you tell me more about how you feel?,0.018850319022747353,0.39999999999999997,0.0,0.26666666666666666,0.9090909090909091,0.9090909090909091,0.0
Probably not. I was with the same company for a long time and I consistently get a bonus every year,Is it possible to reframe how you look at your clients' dire financial situations?,I understand. Can you tell me more about how you feel?,0.03034815223262279,0.16,0.08695652173913043,0.16,0.9090909090909091,0.9090909090909091,0.0
I could try. It mostly gets to me at the end of the day,"Some people can't do what you do because they don't have the heart to give someone else bad news. The reality is though, someone needs to fill that role and you do help people",I understand. Can you tell me more about how you feel?,0.002770166820146267,0.1276595744680851,0.0,0.1276595744680851,0.9090909090909091,0.9090909090909091,0.0
That is also true. Sometimes I wonder if it really is for me though,"I've had to deal with collections before when I was in  bad financial condition. The person on the other line was really helpful though. She was understanding,",I understand. Can you tell me more about how you feel?,0.004401671624742202,0.10256410256410255,0.0,0.10256410256410255,0.9090909090909091,0.9090909090909091,0.0
That is true. Maybe I just need to sit down and really think about it,"I wouldn't stay if it really impacts your mental health in a negative way. Still, you may need to zoom out and see the bigger picture: that you provide a needed service and you do it compassionately",I understand. Can you tell me more about how you feel?,0.002333913673240138,0.12244897959183672,0.0,0.12244897959183672,0.9090909090909091,0.9090909090909091,0.0
Thank you for the different perspective,"No doubt, but you know in your heart what is right for you.",I understand. Can you tell me more about how you feel?,0.01571650849186369,0.16666666666666669,0.0,0.16666666666666669,0.9090909090909091,0.9090909090909091,0.0
im fine how are you,I'm doing ok I'm glad you are good. Is it snowing by you?,I understand. Can you tell me more about how you feel?,0.01571650849186369,0.23076923076923075,0.0,0.23076923076923075,0.9090909090909091,0.9090909090909091,0.0
