input,reference,full_pred,full_bleu,full_rouge,full_d1,full_d2,full_latency,base_pred,base_bleu,base_rouge,base_d1,base_d2,base_latency
Hello,"Hello, what would you like to talk about?","Hi there! I can sense that you might be feeling a bit down today. If you want to talk about what's on your mind, I'm here for you.",0.015718877363021206,0.2105263157894737,0.9642857142857143,0.9642857142857143,1.9966320991516113,I understand. Can you tell me more?,0.028634401465295497,0.13333333333333333,1.0,0.8571428571428571,0.0
I am having a lot of anxiety about quitting my current job. It is too stressful but pays well,What makes your job stressful for you?,"I’m really sorry to hear that you’re feeling this way. It’s completely understandable to feel anxious about making such a significant decision, especially when it involves something as important as your job and financial security. It’s tough to weigh the stress of your current situation against the potential uncertainty of a change. Remember that it’s okay to feel conflicted about this. You’re not alone in feeling this way. If you want to talk more about it, I’m here to listen.",0.004791063173599008,0.10638297872340424,0.7625,0.95,3.301151990890503,That sounds difficult. What do you think you can do?,0.021105340631872645,0.23529411764705882,0.9,0.9,0.0
I have to deal with many people in hard financial situations and it is upsetting,Do you help your clients to make it to a better financial situation?,"I'm really sorry to hear that you're feeling this way. It must be incredibly challenging to witness the struggles of others, especially when it comes to something as critical as finances. It's completely understandable to feel upset about it. Your empathy for their situations shows how caring you are. If you want to talk more about it, I'm here to listen.",0.00422741345345173,0.1282051282051282,0.8524590163934426,0.9836065573770492,2.008718252182007,I understand. Can you tell me more?,0.014017732413740807,0.1,1.0,0.8571428571428571,0.0
"I do, but often they are not going to get back to what they want. Many people are going to lose their home when safeguards are lifted","But you offer them a better future than what they have currently. It may not be what they wanted, but it helps them in the long run.","I'm really sorry to hear that you're feeling this way. It's incredibly tough to see so many people facing uncertainty and the possibility of losing their homes. It's understandable to feel sad in the face of such challenging circumstances. If you'd like to talk more about it, I'm here to listen.",0.007599116882217506,0.11904761904761904,0.8431372549019608,0.9803921568627451,1.7316172122955322,I understand. Can you tell me more?,0.0018970937865486585,0.058823529411764705,1.0,0.8571428571428571,0.0
That is true but sometimes I feel like I should put my feelings and health first,I can understand that.,"It sounds like you're going through a tough time. It's completely understandable to feel that way. Taking care of your feelings and health is really important, and it's okay to prioritize yourself sometimes. You're not alone in feeling this way, and it's okay to seek support when you need it. How are you handling things right now?",0.0,0.06060606060606061,0.8771929824561403,0.9298245614035088,1.8936269283294678,I understand. Can you tell me more?,0.033031643180138064,0.36363636363636365,1.0,0.8571428571428571,0.0
Probably not. I was with the same company for a long time and I consistently get a bonus every year,Is it possible to reframe how you look at your clients' dire financial situations?,"It sounds like you've invested a lot of time and effort into your job, and it must be really disheartening to face uncertainty after such stability. It's completely understandable to feel sad about this change. It's tough when something that has been a source of security and recognition suddenly feels uncertain. If you want to talk more about it, I'm here to listen.",0.004089890369035105,0.07407407407407407,0.8571428571428571,0.9841269841269841,3.4173061847686768,I understand. Can you tell me more?,0.012151662434083676,0.09523809523809523,1.0,0.8571428571428571,0.0
I could try. It mostly gets to me at the end of the day,"Some people can't do what you do because they don't have the heart to give someone else bad news. The reality is though, someone needs to fill that role and you do help people","I'm really sorry to hear that you're feeling this way, especially at the end of the day when things can feel more overwhelming. It's tough when emotions hit harder during those quiet moments. If you want to talk about it, I'm here to listen.",0.0062589852960783475,0.09523809523809525,0.8863636363636364,0.9772727272727273,1.662116527557373,I understand. Can you tell me more?,0.0006979018020453363,0.09302325581395349,1.0,0.8571428571428571,0.0
That is also true. Sometimes I wonder if it really is for me though,"I've had to deal with collections before when I was in  bad financial condition. The person on the other line was really helpful though. She was understanding,","It sounds like you're feeling uncertain and perhaps a bit overwhelmed. It's completely normal to question things, especially when you're feeling down. Remember, it's okay to take your time figuring things out. You're not alone in this.",0.0065958005888164355,0.08571428571428572,0.918918918918919,0.9459459459459459,1.884523868560791,I understand. Can you tell me more?,0.0018970937865486585,0.1142857142857143,1.0,0.8571428571428571,0.0
That is true. Maybe I just need to sit down and really think about it,"I wouldn't stay if it really impacts your mental health in a negative way. Still, you may need to zoom out and see the bigger picture: that you provide a needed service and you do it compassionately","It sounds like you're going through a tough time, and taking a moment to sit down and reflect can be really helpful. It's okay to feel sad and to take the time you need to process your thoughts and emotions. You're not alone in this, and it's perfectly normal to seek some quiet space to understand what you're feeling. If you want to talk more about it, I'm here for you.",0.00846967436908127,0.17391304347826086,0.8169014084507042,0.9859154929577465,1.967686414718628,I understand. Can you tell me more?,0.0005406617080612307,0.08888888888888889,1.0,0.8571428571428571,0.0
Thank you for the different perspective,"No doubt, but you know in your heart what is right for you.","You're welcome. I'm glad I could offer a different viewpoint. It sounds like you might be going through a tough time, and I'm here to listen if you want to share more about what you're feeling.",0.006132910803680854,0.11320754716981132,0.8888888888888888,0.9722222222222222,1.7748041152954102,I understand. Can you tell me more?,0.014017732413740807,0.1,1.0,0.8571428571428571,0.0
