input,reference,prediction,bleu,rouge1,rouge2,rougeL,distinct1,distinct2,latency_sec,agent_emotion,tone,gesture
Hello,"Hello, what would you like to talk about?","Hi there! I'm here for you. It sounds like you might be feeling a bit down. If you want to talk about what's on your mind, I'm here to listen.",0.015703799285850036,0.2926829268292683,0.10256410256410256,0.24390243902439024,0.8666666666666667,0.9333333333333333,2.6165823936462402,sad,gentle,slow_head_tilt
I am having a lot of anxiety about quitting my current job. It is too stressful but pays well,What makes your job stressful for you?,"It sounds like you're going through a really tough time. It's completely understandable to feel anxious about such a big decision, especially when it involves your financial stability. Balancing your mental health with practical concerns can be incredibly challenging. Remember, it's okay to take your time to weigh your options and think about what’s best for you. You're not alone in feeling this way, and it’s important to acknowledge your feelings. If you want to talk more about it, I'm here to listen.",0.002595020310254251,0.08247422680412372,0.021052631578947368,0.061855670103092786,0.8433734939759037,0.9879518072289156,2.3314409255981445,sad,gentle,slow_head_tilt
I have to deal with many people in hard financial situations and it is upsetting,Do you help your clients to make it to a better financial situation?,"I'm really sorry to hear that you're feeling this way. It must be incredibly tough to see others struggling, especially when you care about their well-being. It's understandable to feel upset in such challenging circumstances. If you want to talk more about it, I'm here to listen.",0.005145174324020217,0.12307692307692308,0.0,0.12307692307692308,0.851063829787234,0.9787234042553191,1.8502295017242432,sad,gentle,slow_head_tilt
"I do, but often they are not going to get back to what they want. Many people are going to lose their home when safeguards are lifted","But you offer them a better future than what they have currently. It may not be what they wanted, but it helps them in the long run.","I’m really sorry to hear that you’re feeling this way. It’s tough to watch others face such difficult situations, especially when it comes to something as important as their homes. It’s understandable to feel sad about the potential loss and uncertainty. If you want to talk more about it, I’m here to listen.",0.004545435141870279,0.11764705882352942,0.0,0.09411764705882353,0.8301886792452831,0.9811320754716981,2.0155158042907715,sad,gentle,slow_head_tilt
That is true but sometimes I feel like I should put my feelings and health first,I can understand that.,"It sounds like you're going through a tough time, and it's completely okay to prioritize your feelings and health. It's important to take care of yourself, especially when you're feeling sad. Remember, it's not selfish to focus on your well-being; it's a necessary step towards healing and finding balance. If you need someone to talk to or share what you're feeling, I'm here for you.",0.0,0.025641025641025644,0.0,0.025641025641025644,0.8153846153846154,0.9846153846153847,1.7627673149108887,sad,gentle,slow_head_tilt
Probably not. I was with the same company for a long time and I consistently get a bonus every year,Is it possible to reframe how you look at your clients' dire financial situations?,"It sounds like you've put a lot of time and effort into your job, and it must be tough to feel uncertain about those bonuses now. Change or instability in something that has been a consistent part of your life can really bring up a lot of emotions. If you want to talk more about it, I'm here to listen.",0.004299703119715468,0.10526315789473685,0.0,0.07894736842105263,0.8333333333333334,0.95,1.718151330947876,sad,gentle,slow_head_tilt
I could try. It mostly gets to me at the end of the day,"Some people can't do what you do because they don't have the heart to give someone else bad news. The reality is though, someone needs to fill that role and you do help people","I’m really sorry to hear that. It sounds like the weight of the day is taking a toll on you. It's completely understandable to feel that way, especially when everything starts to pile up. If you want to talk about it, I'm here to listen.",0.006400178381760218,0.1904761904761905,0.0,0.14285714285714288,0.8888888888888888,0.9777777777777777,6.1932783126831055,sad,gentle,slow_head_tilt
That is also true. Sometimes I wonder if it really is for me though,"I've had to deal with collections before when I was in  bad financial condition. The person on the other line was really helpful though. She was understanding,","It's completely understandable to have those thoughts. Feeling uncertain about your path can be really tough. You're not alone in this; many people go through similar feelings. If you want to talk about what's on your mind, I'm here for you.",0.006369304104455854,0.1643835616438356,0.0,0.0821917808219178,0.926829268292683,0.975609756097561,1.4037067890167236,sad,gentle,slow_head_tilt
That is true. Maybe I just need to sit down and really think about it,"I wouldn't stay if it really impacts your mental health in a negative way. Still, you may need to zoom out and see the bigger picture: that you provide a needed service and you do it compassionately","It sounds like you're feeling a bit overwhelmed, and taking some time to sit and reflect can be really helpful. It's okay to take a step back and process your thoughts. If you want to talk about what's on your mind, I'm here to listen.",0.006877439247346583,0.2988505747126437,0.0,0.16091954022988508,0.8444444444444444,0.9777777777777777,1.962630271911621,sad,gentle,slow_head_tilt
Thank you for the different perspective,"No doubt, but you know in your heart what is right for you.","You're welcome. I'm glad I could offer a different perspective. It sounds like you're going through a tough time, and it's okay to feel sad. If you want to talk more about what's on your mind, I'm here to listen.",0.005495155913866061,0.13559322033898305,0.0,0.06779661016949153,0.9,0.975,2.060002565383911,sad,gentle,slow_head_tilt
im fine how are you,I'm doing ok I'm glad you are good. Is it snowing by you?,"I appreciate you saying that, but it sounds like you might be feeling a bit down. If you want to talk about what's on your mind, I'm here to listen.",0.00821807407726565,0.25531914893617025,0.044444444444444446,0.1702127659574468,0.9,0.9666666666666667,1.293548345565796,sad,gentle,slow_head_tilt
merry christmas to you also,How can I help you today?,"Thank you! I appreciate your kind message. I know this time of year can be tough for some, and if you're feeling a bit down, I'm here to listen. How are you feeling this holiday season?",0.007293301163414325,0.18181818181818182,0.0,0.13636363636363635,0.9166666666666666,0.9722222222222222,1.838486909866333,sad,gentle,slow_head_tilt
im having some issues with friends not actually being friends,I hear you are having trouble figuring out which friends are really your friends and which ones aren't. Is that about right?,"I'm really sorry to hear that you're feeling this way. It can be incredibly painful when the people we consider friends don't seem to reciprocate that friendship. It's understandable to feel sad about it. If you want to talk more about what's going on, I'm here to listen.",0.005987016463560547,0.20779220779220778,0.0,0.18181818181818182,0.8541666666666666,0.9791666666666666,2.108297348022461,sad,gentle,slow_head_tilt
yes their is no communication or interaction between me and them nobody answers phone calls txt messages etc,Is this a significant other?,"I'm really sorry to hear that you're feeling this way. It can be incredibly tough when you're trying to reach out and not getting any response. It’s perfectly understandable to feel sad in this situation. If you want to talk more about it or share how it’s affecting you, I’m here to listen.",0.0034537838276078457,0.03125,0.0,0.03125,0.8867924528301887,0.9811320754716981,1.8768775463104248,sad,gentle,slow_head_tilt
no friends,Are they ignoring you?,"I'm really sorry to hear that you're feeling this way. It's tough to feel alone, and it's completely understandable to feel sad about it. If you want to talk about it or share more about what you're going through, I'm here to listen.",0.0,0.037735849056603765,0.0,0.037735849056603765,0.7906976744186046,0.9534883720930233,1.2133386135101318,sad,gentle,slow_head_tilt
when we where younger we all hung out all the time now that we are older its like they talk with each other im not sure if i did anything or not,Are you sure they are okay? Or not away with family for the holidays?,"I'm really sorry to hear that you're feeling this way. It can be tough when friendships change over time, and it’s natural to wonder if you did something wrong. Remember, relationships can evolve for many reasons, and it doesn't always reflect on you personally. It's okay to feel sad about it; those feelings are valid. If you ever want to talk more about it, I'm here for you.",0.003519816815769827,0.09090909090909091,0.0,0.06818181818181819,0.8529411764705882,0.9852941176470589,2.0616395473480225,sad,gentle,slow_head_tilt
it doesnt matter they still keep open communication with each other,That's no good what do you think the problem is?,"It sounds like you're feeling a bit down about the situation. It can be tough when it seems like others are able to communicate openly while you might be feeling isolated or overlooked. If you want to share more about what's on your mind, I'm here to listen.",0.0045491487595968995,0.12903225806451613,0.0,0.06451612903225806,0.8333333333333334,0.9791666666666666,1.5750129222869873,sad,gentle,slow_head_tilt
I believe its because I am the friend that has financial trouble and normally needs to borrow money,Do you owe someone already?,"I'm really sorry to hear that you're feeling this way. It can be tough to be in a situation where you feel like you're always asking for help. It’s understandable to feel sad about it. Remember, it’s okay to lean on friends sometimes, and it doesn’t define your worth or the strength of your relationships. You're not alone in this, and it’s okay to talk about how you’re feeling.",0.0026348495048119725,0.024096385542168672,0.0,0.024096385542168672,0.8115942028985508,0.9565217391304348,1.8425233364105225,sad,gentle,slow_head_tilt
perhaps they are tired of being asked,"That can get in the way of a friendship sometimes, but I try not to get ahead of myself and  jump the gun. They may have lost a phone or something may have come up...","It sounds like you're feeling a bit down about this situation. It's understandable to feel that way, especially if you sense that someone might be overwhelmed or frustrated. It's tough when communication feels strained. If you want to talk more about it, I'm here to listen.",0.0052608684749981885,0.1411764705882353,0.0,0.09411764705882354,0.8695652173913043,0.9782608695652174,1.2128312587738037,sad,gentle,slow_head_tilt
I also think sometimes to myself that they don't answer because they think I'm asking for money,"I see, Have you tried for unemployment?","I'm really sorry to hear that you're feeling this way. It's tough when you feel like your intentions are misunderstood, especially when you're reaching out for support or connection. It's completely understandable to feel sad about that. You're not alone in feeling this way; many people share similar experiences. If you want to talk more about it, I'm here for you.",0.0035548168188028837,0.08,0.0,0.08,0.8032786885245902,0.9672131147540983,1.5482604503631592,sad,gentle,slow_head_tilt
yes i dont qualify,I understand that. What if that is the case? You may need to talk to them and let them know how you feel about that.,"I'm really sorry to hear that you're feeling this way. It can be really disheartening when things don't go as hoped or when we feel like we don't measure up. If you want to talk about it more, I'm here to listen.",0.012705304373125515,0.27777777777777785,0.028571428571428567,0.19444444444444445,0.8333333333333334,0.9761904761904762,1.44950270652771,sad,gentle,slow_head_tilt
and it happens on and off like when they feel lie it i guess i will say maybe 4 months,"I understand that, but if you want to get to a point that you feel better about it then you will have to speak to them.","It sounds like you've been going through a tough time with this situation. It's completely understandable to feel sad when things are inconsistent or uncertain. If you want to share more about what's been happening, I'm here to listen.",0.03000487960856969,0.37681159420289856,0.08955223880597014,0.2028985507246377,0.9230769230769231,0.9743589743589743,1.7691895961761475,sad,gentle,slow_head_tilt
yes i know i hope everything be immediately resolved and not lead into other problems and end of friendshps,Do you see them everyday?,"I'm really sorry to hear that you're feeling this way. It sounds like you're going through a tough time, and it's understandable to worry about how things might unfold. Friendships can be so important, and it's hard to think about the possibility of losing them. Just know that it's okay to feel sad, and it's important to take care of yourself during this time. If you want to talk more about it, I'm here to listen.",0.002387221081851365,0.0449438202247191,0.0,0.0449438202247191,0.7631578947368421,0.9605263157894737,2.258925199508667,sad,gentle,slow_head_tilt
when i go out of town i can visit but with covid19  rules,Well I can see that you have put the effort in to try and keep the relationship so it sounds like the ball is in their court if they want to do the same.,"It sounds like you're feeling a bit down about the limitations of traveling due to COVID-19 rules. It's tough when things we enjoy are affected by circumstances beyond our control. I can understand how that can make you feel sad. If you want to talk more about it or share your thoughts, I'm here to listen.",0.013909880484338158,0.25531914893617025,0.08695652173913045,0.14893617021276595,0.9107142857142857,0.9821428571428571,1.6855201721191406,sad,gentle,slow_head_tilt
