Experiment,Condition,BLEU-1,BLEU-2,ROUGE-1,ROUGE-2,ROUGE-L,DIST-1,DIST-2,Emotion-Acc,Emotion-F1-W,Emotion-F1-M,Empathy-Score,Avg-Length,Avg-Latency
EXP1-Original,Proposed (w/ Cognitive Layer),0.20496415049183575,0.09727561067376816,0.30525775694455193,0.07740924078942726,0.202318832100747,0.0962826743727834,0.3692266737654732,0.95,0.9504781028877415,0.9650984891948747,0.9325,76.13,2.0309510350227358
EXP1-Original,Ablation (w/o Cognitive Layer),0.20837358413035706,0.09312049842880767,0.2962755915799986,0.0663505442409,0.1892166230423224,0.11453396524486571,0.3969502407704655,0.95,0.9504781028877415,0.9650984891948747,0.87,63.3,1.8037341666221618
EXP1-Original,Vanilla GPT-4o,0.16149653489704008,0.07532861643283709,0.2416094670758451,0.05777140465758504,0.16663548607545575,0.09003161923780995,0.3720422889746602,0.0,0.0,0.0,0.945,120.18,2.5152437114715576
EXP2-Component,Full Cognitive System,0.21235476728486335,0.10183566824014832,0.30784108242140945,0.07887156788321036,0.20300669338922334,0.09678794769755543,0.3732698961937716,0.95,0.9504781028877415,0.9650984891948747,0.935,70.36,1.8536304545402527
EXP2-Component,No Emotional Module,0.20085017226783208,0.08964546144816182,0.2936433096474675,0.06667320437710587,0.18957889845429904,0.09891183035714286,0.36431805319750993,0.95,0.9504781028877415,0.9650984891948747,0.945,71.68,1.7301390957832337
EXP2-Component,No Production Rules,0.17445609552087354,0.0845280387836383,0.2719513109839039,0.07119856670955138,0.18359997776416442,0.09652173913043478,0.381978021978022,0.95,0.9504781028877415,0.9650984891948747,0.9525,92.0,2.0740093994140625
EXP2-Component,No Working Memory,0.24565438869228776,0.11800219683893942,0.32845968286688226,0.08384366297447597,0.22028252155948252,0.10251237850724372,0.33084251821408556,0.95,0.9504781028877415,0.9650984891948747,0.915,54.53,1.5564967250823976
EXP2-Component,No Cognitive Layer,0.21380329988036015,0.09393190771231545,0.2966114254871572,0.06635709397837923,0.19538830256096237,0.11949579831932773,0.4046153846153846,0.0,0.0,0.0,0.835,59.5,1.6093164038658143
EXP3-Modality,Text Only,0.24129557700804405,0.11287271562753391,0.3237040488620229,0.07825628677731081,0.21817218256079463,0.11435062476334722,0.36337321497491315,0.0,0.0,0.0,0.905,52.82,1.8624502444267272
EXP3-Modality,Speech Only,0.2516627210569506,0.12038000259899036,0.33621400475160734,0.08490462652649419,0.22091444555145334,0.09559359067734888,0.320660237388724,0.87,0.9100434782608695,0.7339130434782608,0.9175,54.92,1.6153883337974548
EXP3-Modality,Face Only,0.22384422960985303,0.08760990085956225,0.27940647358802284,0.05338144532422197,0.1899583212697322,0.05117595818815331,0.1734194122885129,0.89,0.9175361262902245,0.7496417729204614,0.95,45.92,1.4287404704093933
EXP3-Modality,Text + Speech,0.2551936093575627,0.1233069250599899,0.3352369951660939,0.08613519762173905,0.22864298662949886,0.10051793592940725,0.33072560140817525,0.95,0.9504781028877415,0.9650984891948747,0.885,52.13,1.4414278483390808
EXP3-Modality,Text + Face,0.2642732163414507,0.1323554015243742,0.34320109867634746,0.09387573822055234,0.23500268752541445,0.09693179597420364,0.318716364361172,0.94,0.9405069124423963,0.9579493087557605,0.9075,51.17,1.553283829689026
EXP3-Modality,All Modalities (Text+Speech+Face),0.27199208181106405,0.13056627788405742,0.3485618953106346,0.09103375670410487,0.23680685851828936,0.09731012658227849,0.3280871670702179,0.95,0.9504781028877415,0.9650984891948747,0.9025,50.56,1.6929673099517821
EXP4-IEMOCAP,Proposed,,,,,,,,1.0,1.0,1.0,,,2.0718111562728883
EXP4-IEMOCAP,No Cognition,,,,,,,,1.0,1.0,1.0,,,1.565857367515564
EXP4-IEMOCAP,Vanilla GPT,,,,,,,,0.2,0.06666666666666667,0.08333333333333333,,,1.5742818737030029
EXP4-MELD,Proposed,,,,,,,,1.0,1.0,1.0,,,20.26233594894409
EXP4-MELD,No Cognition,,,,,,,,1.0,1.0,1.0,,,1.28530743598938
EXP4-MELD,Vanilla GPT,,,,,,,,0.18,0.05491525423728814,0.04358353510895884,,,1.3514209604263305
